Test Run,Application,Total Tests,Passed,Failed,Fixes Provided,Comments,
21/10/2022,THD,40,32,8,Increased the timeout,,
20/10/2022,Metrie,62,43,19,"1.Changed few locators
1.1. Configure Favorites
1.2. Homepage
1.3. Login Page
1.4. My Quotes
1.5. New line item
1.6. Open Quote 
2.Increase the timeout 
3.Removed "".skip"" in a test case",,
21/10/2022,ABS,75,24,51,"1.Changed few locators
1.1. My Quotes
1.2. My Customer 
2.Increase the timeout",,
25/10/2022,THD,40,35,5,,4 are timeout because the website is taking time to load. 1 is locator issue.,
25/10/2022,Metrie,62,51,11,,2 are timeout issue where 8 are locators issue which are fixed and pr is raised.,
25/10/2022,ABS,75,71,4,,Total fails are 4. All of them are working fine while executing local. Executing one more time in client side to check if some flackyness is there.,
24/10/2022,Menards,341,190,151,,Randomly a popup is coming which is stoping the execution.,
27/10/2022,ABS,75,25,50,No Fixes provided,Seems to be application issue. Need to find out if there was any downtime.,
27/10/2022,Metrie,60,12,48,,"Most of them are timeout issues. Application issues, Is it possible to check application logs ?",
27/10/2022,Menards,,,,"Applied a fix for Popup handling, code updated for 10 tests only.","Yet to create PR. Application is too slow to run locally.
If this solution works, we can apply the same for other 140.",
31/10/2022,ABS,75,72,3,,Will be working failuers,
31/10/2022,Metrie,60,53,7,,4 are timeouts and 3 are being investigated ,
,,,,,Updated Results,,
31/10/2022,ABS,75,73,2,,1 seems to be application issue and 1 we will be working on it,
31/10/2022,Metrie,60,60,0,,100% results,
1/11/22,ABS,75,74,1,,"Seems to be application issue as sometimes ""Dealer"" option in line item is appearing properly and sometimes it is not",
1/11/22,Metrie,60,60,0,,All passed (100% result),
2/11/22,ABS,75,74,1,,"Seems to be application issue as sometimes ""Dealer"" option in line item is appearing properly and sometimes it is not",
2/11/22,Metrie,60,60,0,,All passed (100% result),
3/11/22,ABS,75,75,0,,We had 100% pass in ABS. Missing Dealer option issue still happening intermittently,
3/11/22,Metrie,60,60,0,,All passed (100% result),
